channel,sample-10011,sample-10012,sample-20021,sample-20022,sample-30031,sample-30032,sample-10041,sample-10042,sample-10051,sample-10052,sample-10061,sample-10062,sample-10071,sample-10072,sample-40081,sample-40082,sample-10091,sample-10092,sample-10111,sample-10112,sample-20121,sample-20122,sample-10151,sample-10152,sample-30161,sample-30162,sample-10171,sample-10172,sample-10181,sample-10182,sample-10191,sample-10192,sample-10201,sample-10202,sample-10211,sample-10212,sample-10221,sample-10222,sample-10231,sample-10232,sample-10241,sample-10242,sample-10251,sample-10252,sample-10261,sample-10262
148.32,28258.5,16815.4,21258.9,33204.9,29864.1,29649.8,21315.5,21201.3,19829.3,26531.7,29819.9,24543.8,22514.3,21251.4,65535.0,65535.0,30052.8,28698.2,24214.1,26005.6,26660.4,28722.4,22642.3,19139.8,22000.6,19016.8,9372.2,11392.0,16567.6,15672.3,15468.5,11900.8,19815.2,17681.5,15371.2,18893.6,16520.8,16133.7,17431.2,16723.6,10690.8,9018.4,9646.4,11795.4,11389.9,9689.6
150.7,25508.0,15336.1,20306.2,30606.7,29058.6,29124.4,19385.6,19281.6,18251.2,23987.8,27579.2,22593.5,20568.5,19218.8,65535.0,65535.0,27094.8,26157.9,21889.9,23536.4,24843.5,26997.9,20342.9,17397.5,20328.1,17292.9,8614.6,10489.2,14940.9,14196.7,14053.8,10799.4,17987.4,15971.3,13922.9,17229.1,14936.1,14464.4,15810.5,15184.4,9710.3,8406.5,8836.9,10915.8,10363.1,8941.2
153.07,24081.4,14494.4,19649.3,29066.2,28545.6,28613.9,18321.9,18206.2,17271.4,22716.5,26098.8,21372.3,19462.0,18418.0,62455.1,65176.5,25410.5,24658.9,20695.3,22288.7,23619.3,26038.3,19136.5,16511.9,19348.8,16536.3,8138.4,10023.7,13973.6,13351.8,13268.4,10187.2,16980.1,15110.8,13132.2,16244.3,14119.4,13573.5,14872.2,14326.2,9229.7,8117.1,8377.9,10349.3,9848.6,8411.0
155.45,24416.2,14574.9,19595.2,29208.5,28762.0,28697.0,18351.9,18348.8,17437.8,22905.8,26384.3,21647.3,19739.1,18457.6,52091.0,56710.8,25711.1,24880.1,20764.1,22457.0,23596.1,26086.4,19077.4,16593.5,19483.2,16635.8,8218.6,9985.7,13999.6,13387.5,13225.4,10229.8,16988.0,15120.8,13101.0,16267.1,14138.3,13478.4,14852.3,14448.3,9146.8,8117.8,8312.7,10323.5,9868.8,8388.7
157.82,26440.7,15827.5,20044.0,30781.1,29332.4,28992.4,19819.8,19527.2,18587.3,24750.9,28071.7,23199.9,21223.9,19853.7,44582.7,49096.3,27789.4,26760.1,22445.6,24176.3,24610.0,27166.4,20542.8,17682.9,20701.3,17995.5,8671.1,10591.6,14836.0,14266.1,13931.1,10747.9,18033.9,16134.0,13851.2,17234.3,15052.4,14371.8,15857.1,15385.7,9694.2,8334.6,8857.3,10887.9,10506.8,8908.2
160.2,31224.0,18265.9,20965.8,34186.6,29957.6,29019.1,22876.5,22334.2,21191.2,28881.3,31910.8,26570.1,24579.9,22794.9,39303.2,43510.7,32538.6,31092.9,26236.5,28228.5,26896.8,29243.1,23611.1,20315.3,23417.1,20751.1,9635.3,11894.2,16852.6,16096.9,15714.9,12190.7,20403.4,18522.0,15510.1,19516.7,17174.7,16264.2,18175.9,17798.8,10752.3,9043.7,9824.9,11996.5,11843.8,9897.1
162.57,41893.1,23803.6,23859.9,42479.5,32097.1,29964.2,29730.2,29041.8,27003.5,38660.8,40633.8,34467.3,32579.2,29697.8,36656.9,40123.6,43495.2,41249.3,35061.9,37421.9,32879.9,34672.4,31109.1,26300.5,29632.7,27075.3,11936.6,14884.8,21573.3,20489.2,19979.6,15223.3,26220.1,23962.3,19515.6,24931.8,22004.6,20847.0,23289.2,22824.8,13339.3,10678.2,12080.6,14582.9,15065.4,12473.8
164.94,59639.1,34254.7,29846.7,56988.4,36461.1,32155.6,42867.4,41719.3,38380.8,55216.6,55357.0,48323.2,46771.6,42374.9,36662.3,38568.3,61628.1,57815.3,50827.9,53635.3,44021.2,44440.1,45093.8,37741.5,41295.9,39023.8,16382.9,20566.5,30932.4,29084.4,28169.3,21155.7,37413.1,34274.3,27375.9,35219.4,31656.4,29572.4,33502.1,32772.1,18381.5,13852.0,16401.1,19555.5,21190.3,17246.9
167.31,65535.0,44576.8,36391.3,65535.0,40507.9,33896.4,55781.9,53863.3,49338.2,65535.0,65535.0,61322.3,59386.7,54306.9,36811.4,37148.4,65535.0,65535.0,64487.8,65535.0,56001.3,54366.1,59169.9,49382.6,52204.3,50381.4,21113.4,26569.1,41899.6,39087.3,37821.4,27760.3,49863.9,45464.4,36344.5,46518.6,42401.4,39760.7,44694.2,43360.8,24017.0,17188.0,21206.3,25001.7,27570.6,22335.4
169.68,65535.0,46820.3,39916.8,65535.0,41857.8,34432.3,58925.6,57361.3,51706.1,65535.0,65535.0,63557.4,61500.9,56972.4,35862.6,35406.9,65535.0,65535.0,65535.0,65535.0,60724.6,58010.6,63666.8,53013.5,54559.1,52687.0,23015.0,28810.5,46759.1,43051.4,42118.1,31041.7,55297.1,49738.1,40377.7,50545.5,46749.2,44088.2,49016.6,46726.9,26741.5,18675.8,23290.3,27313.0,29863.7,24329.2
172.05,65459.9,38827.9,37180.0,65535.0,39055.8,32812.8,50418.2,49132.4,43827.1,63175.6,61916.1,54632.0,52061.7,48125.5,32748.7,33543.6,65535.0,65022.4,58977.8,61552.0,55397.8,52561.3,55976.0,45425.4,46537.4,44362.3,20037.1,24703.2,41369.2,37444.1,37142.4,27251.0,49407.2,43091.4,35310.5,44101.7,40810.6,38580.5,42224.5,39940.6,23812.7,16746.7,20453.4,23876.9,25715.0,21203.5
